DATE,DOY,DOS,DUR,WOD,,BER,THU,VIS,BRI,BIN,ULR,COM,SBO
01.06.2014,152,1,,,,0,0,0,0,0,0,0,2.5
02.06.2014,153,2,,,,1.2,3.1,0,0,0,0,0.3,2.3
03.06.2014,154,3,,,,0,0.3,0,0,0,0,0.1,1.9
04.06.2014,155,4,,,,6.1,2.5,1.5,2,4.8,7,5.6,22.3
05.06.2014,156,5,,,,0.8,0,0,0,0,3.5,0,0.1
06.06.2014,157,6,,,,0,0,0,0,0,0,0,0
07.06.2014,158,7,,,,0,0,0,0,0,0,0,0
08.06.2014,159,8,,,,0,0,0,0,0,0,0,0
09.06.2014,160,9,0,1,,0,0,7.5,0,5.1,4.8,0.7,0
10.06.2014,161,10,1,1,,7.2,0,0,0,0,0.1,0,0
11.06.2014,162,11,2,1,,0,0,0,0,0,0,0,0
12.06.2014,163,12,3,1,,0,9.3,0,0,10,0,4.8,0
13.06.2014,164,13,4,1,,0,0,0.2,0,0.4,0.2,0,1.6
14.06.2014,165,14,5,1,,0,0,0,0.8,0.9,0,0,35.8
15.06.2014,166,15,6,1,,0,0,0,0,2.3,0,2.6,7
16.06.2014,167,16,7,2,,0,0,0,0,0,0,0,3.2
17.06.2014,168,17,8,2,,2.3,0.9,0,0,0.1,0,0.8,0.5
18.06.2014,169,18,9,2,,2,2.4,2,2.2,1.2,2.9,0.1,0.5
19.06.2014,170,19,10,2,,0.9,4.7,0.1,0,0,0.1,1.9,0
20.06.2014,171,20,11,2,,0,0,0,0,0,0,0,0
21.06.2014,172,21,12,2,,0,0,0,0,0,0,0,0
22.06.2014,173,22,13,2,,15,2.9,3.2,3.3,3.5,4.6,13.2,0.5
23.06.2014,174,23,14,3,,11.4,33.3,4,3.2,19.7,10.6,13.4,16.7
24.06.2014,175,24,15,3,,11.2,13,1.2,0.3,12.5,2.2,5,0.3
25.06.2014,176,25,16,3,,0,0,0,0.2,0,0.2,0,7.6
26.06.2014,177,26,17,3,,0,0,0,0,0,0,0,2
27.06.2014,178,27,18,3,,1.9,0,0,1.2,0.5,0,0,2.5
28.06.2014,179,28,19,3,,1,1.5,0,0,0.4,0.6,8.4,42.2
29.06.2014,180,29,20,3,,6.4,3,3.5,4.9,12.2,14.2,43.4,26.2
30.06.2014,181,30,21,4,,3.3,3.9,0,0,0,3.9,0,0
01.07.2014,182,31,22,4,,0,0,2,0.9,1.1,0,0,7.4
02.07.2014,183,32,23,4,,26.3,18.6,1.7,6,11.7,11.9,9.7,8.6
03.07.2014,184,33,24,4,,0,0,0,0,0,0,0,0
04.07.2014,185,34,25,4,,11.9,9.2,0,0,3.2,0.2,13.8,10.8
05.07.2014,186,35,26,4,,0.7,0.8,0.5,1,0,0.3,3.1,0
06.07.2014,187,36,27,4,,22.9,13.6,0,0,2.1,1.9,2.2,0
07.07.2014,188,37,28,5,,11.4,13.5,10.6,14.2,31.5,4.5,30.6,64.1
08.07.2014,189,38,29,5,,16.2,22.5,9,15.2,39,26.9,34,25.3
09.07.2014,190,39,30,5,,14.9,13.1,0.3,0,0.5,6.9,0,2
10.07.2014,191,40,31,5,,3.2,6,4.6,5.6,4.5,13.8,0,0
11.07.2014,192,41,32,5,,17.8,11.8,1.8,4.6,4.6,13.3,0,0
12.07.2014,193,42,33,5,,3.2,23.8,0,0.2,12,3.1,3,8
13.07.2014,194,43,34,5,,6.3,19,0,0,0.6,1.4,10.8,0
14.07.2014,195,44,35,6,,0.7,6.1,0,0,0,0.5,0,0
15.07.2014,196,45,36,6,,0,0,0,0,0,0,0,0
16.07.2014,197,46,37,6,,0,0,0,1.2,0,0,0,0
17.07.2014,198,47,38,6,,0,0,0,0,0,0,0,0
18.07.2014,199,48,39,6,,0,0,0,0,0,0,0,0
19.07.2014,200,49,40,6,,0,0,0.7,0.1,0,1.6,0.4,0.1
20.07.2014,201,50,41,6,,46.2,14.3,7.8,6.8,26.5,13.4,16.3,7.8
21.07.2014,202,51,42,7,,17.9,10.8,4.8,3.2,2.8,3.3,13.8,3.9
22.07.2014,203,52,43,7,,9.8,21.2,3.2,2.9,1.7,11.3,0.1,0.8
23.07.2014,204,53,44,7,,0,0.4,0.6,1.1,7,0,1,19.8
24.07.2014,205,54,45,7,,0,10.6,2.2,1.1,14.7,5.9,1.4,3.4
25.07.2014,206,55,46,7,,0,13,0,0,0,0,0.1,8.5
26.07.2014,207,56,47,7,,17.2,5.2,2.6,3.2,3.9,4.5,7.1,66.6
27.07.2014,208,57,48,7,,0,0,0,0,0.5,0.2,0,0
28.07.2014,209,58,49,8,,12.3,17.5,23,20.8,13.6,9.3,10.6,5.2
29.07.2014,210,59,50,8,,16.3,18.2,28.6,30,41.6,28.2,34.8,147.1
30.07.2014,211,60,51,8,,8.8,15.9,0.2,0.9,0,3.2,0,0.8
31.07.2014,212,61,52,8,,0.2,2.6,0.1,0.3,0.2,3,0,0
01.08.2014,213,62,53,8,,0,5.8,0,0,0,2,8.4,12
02.08.2014,214,63,54,8,,20.1,23.2,1.2,1.8,12.6,13.2,28.8,75.1
03.08.2014,215,64,55,8,,0.8,6.2,0.8,1.2,1.9,4.3,11.2,34.5
04.08.2014,216,65,56,9,,0,5.4,0,0,0,5,0,0
05.08.2014,217,66,57,9,,0,6.6,0,0,0.2,0.1,0,0
06.08.2014,218,67,58,9,,0.4,0.3,0,0,0,0,0,0
07.08.2014,219,68,59,9,,0.5,2.8,0,0.5,1,0.4,0,0
08.08.2014,220,69,60,9,,1,1.5,5.1,8.2,16.8,8.6,2.4,2.2
09.08.2014,221,70,61,9,,13,6.5,3.2,3.2,3.8,2.7,11.8,2.2
10.08.2014,222,71,62,9,,8.4,5.3,0,0,0,0,2.3,85.1
11.08.2014,223,72,63,10,,2.8,44.2,8.4,10.7,6.2,4.8,1.9,1.2
12.08.2014,224,73,64,10,,0,0,0.8,0.3,0,0,2.8,2.2
13.08.2014,225,74,65,10,,1.6,1.2,6,5.9,7.6,16.4,36,38.3
14.08.2014,226,75,66,10,,0,0,0,0,0.1,0.5,0,0
15.08.2014,227,76,67,10,,10.7,11.3,0,0,0,9.1,0,12.5
16.08.2014,228,77,68,10,,0.1,1.5,0,0,0,2.6,0,0.3
17.08.2014,229,78,69,10,,0,0,0,0,0,0,0,0
18.08.2014,230,79,70,11,,0,0,0,0,0,0,0,1.1
19.08.2014,231,80,71,11,,2.2,7.7,2.4,2,1.7,1.8,0.1,3.5
20.08.2014,232,81,72,11,,1.6,0.6,0,0,0,0,5.7,8.1
21.08.2014,233,82,73,11,,0.1,0,0,0,0,11.2,0,0
22.08.2014,234,83,74,11,,0,0,0,0,0,0,0,3.6
23.08.2014,235,84,75,11,,0,0,0,0,0,5.4,0,9.4
24.08.2014,236,85,76,11,,4,9.5,0,0,0,2,0,0
25.08.2014,237,86,,,,1.1,0,0,0,1.3,0.6,0,23.9
26.08.2014,238,87,,,,11.1,19.5,33.8,27.3,31.4,24.2,7.9,1.8
27.08.2014,239,88,,,,1.9,7.3,0,0,0,0.1,0,0
28.08.2014,240,89,,,,0,0,0,,0,0,0,2.3
29.08.2014,241,90,,,,0,19.1,0,,0.4,17.1,5.5,0
30.08.2014,242,91,,,,0,0,0.1,,0,10.5,1,0
31.08.2014,243,92,,,,2,5.2,2.5,,7.9,13.6,3.5,0.6
01.09.2014,244,93,,,,0.5,2.4,0.5,,7.9,7.2,0.9,0
02.09.2014,245,94,,,,0,0,0,,0,0,0,0
03.09.2014,246,95,,,,0,0,0,,0,0,0,0
04.09.2014,247,96,,,,0,0,0,,0,0,0,0
05.09.2014,248,97,,,,0,0.7,0.4,,2.6,3.5,11.2,0.6
06.09.2014,249,98,,,,0,0,0,,0,0.1,0.1,0
07.09.2014,250,99,,,,0,0,0,,0,0,0,0
08.09.2014,251,,,,,0,0,0,,0,1.7,2,0.1
09.09.2014,252,,,,,2.3,11.9,2.4,,0.4,1.4,0.4,8.6
10.09.2014,253,,,,,1.6,0,0,,1,0,0,0
11.09.2014,254,,,,,0,0,0,,0,0,0,0
12.09.2014,255,,,,,0.7,0.1,0,,0,2.7,0,0
13.09.2014,256,,,,,0,0,0,,0,0,0,0
14.09.2014,257,,,,,0,0,0,,0,0,0,0
15.09.2014,258,,,,,0,2.5,0,,0,0.4,0,0.1
16.09.2014,259,,,,,0,0,0,,0,0,0.4,0
17.09.2014,260,,,,,0.5,0,0,,0,0,0,0
18.09.2014,261,,,,,0.2,0.2,0,,0.1,0,3.7,0.4
19.09.2014,262,,,,,1,1.2,0,,0.6,0,5.9,15.9
20.09.2014,263,,,,,2.1,0.1,0,,0,0.5,0,0
21.09.2014,264,,,,,3.5,29.2,4.9,,3.9,6,0,0
22.09.2014,265,,,,,>.5,>9,,,>.4,>3.5,,
23.09.2014,266,,,,,,,,,,,,
24.09.2014,267,,,,,,,,,,,,
25.09.2014,268,,,,,0.1,0.1,0.1,,0,7.6,0,0
26.09.2014,269,,,,,0,0,0,,0.2,0,0,0
27.09.2014,270,,,,,0,0,0,,0,0,0,0
28.09.2014,271,,,,,0,0,0,,0,0,0,0
29.09.2014,272,,,,,0,0,0,,0,0,0,0
30.09.2014,273,,,,,0.2,3.3,0.7,,1.6,1.7,0.4,0.8
01.10.2014,274,,,,,0.4,0.9,0,,0,0.1,0.1,0.2
02.10.2014,275,,,,,0,0,0,,0,0,0,0
03.10.2014,276,,,,,0,0,0,,0.2,0,0,0
04.10.2014,277,,,,,1.5,0.4,0,,0,1.1,5.1,0
05.10.2014,278,,,,,11.6,4.4,0,,0,0.9,5.2,0
06.10.2014,279,,,,,0.1,0.4,2.7,,1.2,1.6,5.1,0
07.10.2014,280,,,,,21.6,3,0,,0.2,0.3,4.1,10.9
08.10.2014,281,,,,,6.8,5.9,0,,0,0.1,8.2,4
09.10.2014,282,,,,,0.1,0,0,,0,0.2,6.3,1.7
10.10.2014,283,,,,,3.3,0.5,0,,1.8,0,21.7,3.1
11.10.2014,284,,,,,4.6,1.7,1.2,,2.6,0.4,27.8,73
12.10.2014,285,,,,,,,,,,,,
13.10.2014,286,,,,,,,,,,,,
14.10.2014,287,,,,,,,,,,,,
15.10.2014,288,,,,,,,,,,,,
16.10.2014,289,,,,,,,,,,,,
17.10.2014,290,,,,,,,,,,,,
18.10.2014,291,,,,,,,,,,,,
19.10.2014,292,,,,,,,,,,,,
20.10.2014,293,,,,,,,,,,,,
21.10.2014,294,,,,,,,,,,,,
22.10.2014,295,,,,,,,,,,,,
23.10.2014,296,,,,,,,,,,,,
24.10.2014,297,,,,,,,,,,,,
25.10.2014,298,,,,,,,,,,,,
26.10.2014,299,,,,,,,,,,,,
27.10.2014,300,,,,,,,,,,,,
28.10.2014,301,,,,,,,,,,,,
29.10.2014,302,,,,,,,,,,,,
30.10.2014,303,,,,,,,,,,,,
31.10.2014,304,,,,,,,,,,,,
